ether,burnedBToken,receivedEth
12687955842206090783622,1000000000000000000000,242864481921010108208
12445428890292104954758,1000000000000000000000,242526951913985828864
12203263179580823289229,1000000000000000000000,242165710711281665529
11961484610730771910519,1000000000000000000000,241778568850051378710
11720121521334577849899,1000000000000000000000,241363089396194060620
11479204965904253705679,1000000000000000000000,240916555430324144220
11238769033107615697443,1000000000000000000000,240435932796638008236
10998851205714880623157,1000000000000000000000,239917827392735074286
10759492769539327791396,1000000000000000000000,239358436175552831761
10520739278592245514073,1000000000000000000000,238753490947082277323
10282641084725932778454,1000000000000000000000,238098193866312735619
10045253941209647651499,1000000000000000000000,237387143516285126955
9808639690963250818833,1000000000000000000000,236614250246396832666
9572867051538153449303,1000000000000000000000,235772639425097369530
9338012510337991153952,1000000000000000000000,234854541200162295351
9104161344929597929469,1000000000000000000000,233851165408393224483
8871408784472647897733,1000000000000000000000,232752560456950031736
8639861329080302205853,1000000000000000000000,231547455392345691880
8409638243988020244442,1000000000000000000000,230223085092281961411
8180873244270264093435,1000000000000000000000,228764999717756151007
7953716382804428654422,1000000000000000000000,227156861465835439013
7728336148245383932493,1000000000000000000000,225380234559044721929
7504921769572725041053,1000000000000000000000,223414378672658891440
7283685707474170182656,1000000000000000000000,221236062098554858397
7064866288080090282701,1000000000000000000000,218819419394079899955
6848730398513946135408,1000000000000000000000,216135889566144147293
6635576113212518564468,1000000000000000000000,213154285301427570940
6425735052044743625998,1000000000000000000000,209841061167774938470
6219574184214112704611,1000000000000000000000,206160867830630921387
6017496687137157736715,1000000000000000000000,202077497076954967896
5819941354201088908711,1000000000000000000000,197555332936068828004
5627379936360818656905,1000000000000000000000,192561417840270251806
5440311730238627739560,1000000000000000000000,187068206122190917345
5259254735550791605610,1000000000000000000000,181056994687836133950
5084732855344874245238,1000000000000000000000,174521880205917360372
4917258960734816214946,1000000000000000000000,167473894610058030292
4757314217253959579043,1000000000000000000000,159944743480856635903
4605324838488156037239,1000000000000000000000,151989378765803541804
4461638264544885161410,1000000000000000000000,143686573943270875829
4326501431845391882170,1000000000000000000000,135136832699493279240
4200044038950779724999,1000000000000000000000,126457392894612157171
4082269321724974259269,1000000000000000000000,117774717225805465730
3973053819319897117282,1000000000000000000000,109215502405077141987
3872156169422544644795,1000000000000000000000,100897649897352472487
3779233517186716548885,1000000000000000000000,92922652235828095910
3693863062255276620735,1000000000000000000000,85370454931439928150
3615565842801770329500,1000000000000000000000,78297219453506291235
3543830065575034293744,1000000000000000000000,71735777226736035756
3478131944471521170560,1000000000000000000000,65698121103513123184
3417952839930834227230,1000000000000000000000,60179104540686943330
3362792267187648876540,1000000000000000000000,55160572743185350690
3312176928117575695596,1000000000000000000000,50615339070073180944
3265666280760144774433,1000000000000000000000,46510647357430921163
3222855319970059303392,1000000000000000000000,42810960790085471041
3183375258447027756128,1000000000000000000000,39480061523031547264
3146892728034871244180,1000000000000000000000,36482530412156511948
3113108013234830959560,1000000000000000000000,33784714800040284620
3081752713407170938822,1000000000000000000000,31355299827660020738
3052587124574535295185,1000000000000000000000,29165588832635643637
3025397543731220958866,1000000000000000000000,27189580843314336319
2999993629695874668821,1000000000000000000000,25403914035346290045
2976205903220395154462,1000000000000000000000,23787726475479514359
2953883432364057592712,1000000000000000000000,22322470856337561750
2932891723894743093653,1000000000000000000000,20991708469314499059
2913110824814606014429,1000000000000000000000,19780899080137079224
2894433627646398217718,1000000000000000000000,18677197168207796711
2876764367001687236845,1000000000000000000000,17669260644710980873
2860017291792168325917,1000000000000000000000,16747075209518910928
2844115496230651918751,1000000000000000000000,15901795561516407166
2828989892785549050325,1000000000000000000000,15125603445102868426
2814578311009240324244,1000000000000000000000,14411581776308726081
2800824707324517336214,1000000000000000000000,13753603684722988030
2787678472206120132013,1000000000000000000000,13146235118397204201
2775093822597295758235,1000000000000000000000,12584649608824373778
2763029268769449781037,1000000000000000000000,12064553827845977198
2751447146117837817994,1000000000000000000000,11582122651611963043
