ether,burnedBToken,receivedEth
49789578740015977906016,1000000000000000000000,994555583460950734034
48795255714953494958339,1000000000000000000000,994323025062482947677
47801180381180029291703,1000000000000000000000,994075333773465666636
46807369204998636393226,1000000000000000000000,993811176181392898477
45813840135266489732447,1000000000000000000000,993529069732146660779
44820612772861349198376,1000000000000000000000,993227362405140534071
43827708563753089739217,1000000000000000000000,992904209108259459159
42835151019574379969708,1000000000000000000000,992557544178709769509
41842965970329552880019,1000000000000000000000,992185049244827089689
40851181854788232240835,1000000000000000000000,991784115541320639184
39859830055220300504286,1000000000000000000000,991351799567931736549
38868945284492163035942,1000000000000000000000,990884770728137468344
37878566035226025585103,1000000000000000000000,990379249266137450839
36888735102807667756267,1000000000000000000000,989830932418357828836
35899500196621965641413,1000000000000000000000,989234906185702114854
34910914657139395850111,1000000000000000000000,988585539482569791302
33923038300553878517688,1000000000000000000000,987876356585517332423
32935938417822517742923,1000000000000000000000,987099882731360774765
31949690961497389205210,1000000000000000000000,986247456325128537713
30964381962087698846144,1000000000000000000000,985308999409690359066
29980109226405789704957,1000000000000000000000,984272735681909141187
28996984384180177942156,1000000000000000000000,983124842225611762801
28015135367168702177272,1000000000000000000000,981849017011475764884
27034709428433794154417,1000000000000000000000,980425938734908022855
26055876840192948153715,1000000000000000000000,978832588240846000702
25078835449238243130095,1000000000000000000000,977041390954705023620
24103816322746690082969,1000000000000000000000,975019126491553047126
23131090789034908219272,1000000000000000000000,972725533711781863697
22160979273773186910731,1000000000000000000000,970111515261721308541
21193862460894965280353,1000000000000000000000,967116812878221630378
20230195480251227821523,1000000000000000000000,963666980643737458830
19270526055621256629526,1000000000000000000000,959669424629971191997
18315517855020627112584,1000000000000000000000,955008200600629516942
17365980690323402761182,1000000000000000000000,949537164697224351402
16422909731950358721707,1000000000000000000000,943070958373044039475
15487536537247243597981,1000000000000000000000,935373194703115123726
14561395390749066371607,1000000000000000000000,926141146498177226374
13646409056605998809120,1000000000000000000000,914986334143067562487
12744998125985928557977,1000000000000000000000,901410930620070251143
11860216758036827224270,1000000000000000000000,884781367949101333707
10995912843778904369863,1000000000000000000000,864303914257922854407
10156899018341372130533,1000000000000000000000,839013825437532239330
9349097404446321230537,1000000000000000000000,807801613895050899996
8579580928091228973424,1000000000000000000000,769516476355092257113
7856382039965410504887,1000000000000000000000,723198888125818468537
7187907556682722737600,1000000000000000000000,668474483282687767287
6581860478534019644809,1000000000000000000000,606047078148703092791
6043803500713151503723,1000000000000000000000,538056977820868141086
5575843658902023776376,1000000000000000000000,467959841811127727347
5176071969665240382939,1000000000000000000000,399771689236783393437
4839072581036424101679,1000000000000000000000,336999388628816281260
4557214642454948793610,1000000000000000000000,281857938581475308069
4322096919002644126824,1000000000000000000000,235117723452304666786
4125650054003853590629,1000000000000000000000,196446864998790536195
3960745432795839532999,1000000000000000000000,164904621208014057630
3821402464257975161866,1000000000000000000000,139342968537864371133
3702755476359557677781,1000000000000000000000,118646987898417484085
3600911936010183436272,1000000000000000000000,101843540349374241509
3512781609562751761136,1000000000000000000000,88130326447431675136
3435915386326968172473,1000000000000000000000,76866223235783588663
3368368194709132533259,1000000000000000000000,67547191617835639214
3308588366984743615149,1000000000000000000000,59779827724388918110
3255330792055332011440,1000000000000000000000,53257574929411603709
3207589696897570683750,1000000000000000000000,47741095157761327690
3164546934586260039390,1000000000000000000000,43042762311310644360
3125532245781603851262,1000000000000000000000,39014688804656188128
3089992660582963309216,1000000000000000000000,35539585198640542046
3057468845642730366658,1000000000000000000000,32523814940232942558
3027576726153218348136,1000000000000000000000,29892119489512018522
2999993122793991561562,1000000000000000000000,27583603359226786574
2974444456460159887976,1000000000000000000000,25548666333831673586
2950697808573478846691,1000000000000000000000,23746647886681041285
2928553800177943719292,1000000000000000000000,22144008395535127399
2907840883671661780373,1000000000000000000000,20712916506281938919
2888410738417359728668,1000000000000000000000,19430145254302051705
2870134534261557318694,1000000000000000000000,18276204155802409974
2852899881600893170141,1000000000000000000000,17234652660664148553
2836608327793097121911,1000000000000000000000,16291553807796048230
2821173290891006751266,1000000000000000000000,15435036902090370645
2806518345427829017140,1000000000000000000000,14654945463177734126
2792575793172439470706,1000000000000000000000,13942552255389546434
2779285465784676558686,1000000000000000000000,13290327387762912020
2766593717153275730293,1000000000000000000000,12691748631400828393
2754452571652065216699,1000000000000000000000,12141145501210513594
2742819001169930757608,1000000000000000000000,11633570482134459091
2731654308982105495228,1000000000000000000000,11164692187825262380
2720923602655359615214,1000000000000000000000,10730706326745880014
2710595341460923866591,1000000000000000000000,10328261194435748623
2700640946391919446065,1000000000000000000000,9954395069004420526
2691034462988767273557,1000000000000000000000,9606483403152172508
2681752268875932894535,1000000000000000000000,9282194112834379022
2672772819291117803804,1000000000000000000000,8979449584815090731
2664076425009502593544,1000000000000000000000,8696394281615210260
2655645057982358724137,1000000000000000000000,8431367027143869407
2647462180761691433002,1000000000000000000000,8182877220667291135
2639512596402435170963,1000000000000000000000,7949584359256262039
2631782316046350449355,1000000000000000000000,7730280356084721608
2624258441817261472137,1000000000000000000000,7523874229088977218
2616929063011682287113,1000000000000000000000,7329378805579185024
2609783163865084932595,1000000000000000000000,7145899146597354518
2602810541422439094381,1000000000000000000000,6972622442645838214
2596001732250585228540,1000000000000000000000,6808809171853865841
2589347946906296961135,1000000000000000000000,6653785344288267405
2582841011223085749167,1000000000000000000000,6506935683211211968
2576473313606430293736,1000000000000000000000,6367697616655455431
2570237757634888840602,1000000000000000000000,6235555971541453134
2564127719356529635300,1000000000000000000000,6110038278359205302
2558137008748815088509,1000000000000000000000,5990710607714546791
2552259834877586311981,1000000000000000000000,5877173871228776528
2546490774348850158862,1000000000000000000000,5769060528736153119
2540824742697114463048,1000000000000000000000,5666031651735695814
2535256968397254577849,1000000000000000000000,5567774299859885199
2529782969224335362526,1000000000000000000000,5473999172919215323
2524398530718305410597,1000000000000000000000,5384438506029951929
2519099686538738463142,1000000000000000000000,5298844179566947455
2513882700519423178149,1000000000000000000000,5216986019315284993
2508744050254106591953,1000000000000000000000,5138650265316586196
2503680412063511155130,1000000000000000000000,5063638190595436823
2498688647210237793169,1000000000000000000000,4991764853273361961
2493765789242651290487,1000000000000000000000,4922857967586502682
2488909032361586936530,1000000000000000000000,4856756881064353957
