ether,mintedBToken,sentEth
1,400,4
2,399,4
3,399,4
4,399,4
5,399,4
6,399,4
7,399,4
8,399,4
9,399,4
10,399,4
11,399,4
261,99757,1000
511,99758,1000
761,99757,1000
1011,99757,1000
1261,99758,1000
1511,99757,1000
1761,99757,1000
2011,99758,1000
2261,99757,1000
2511,99758,1000
2761,99757,1000
3011,99757,1000
3261,99758,1000
3511,99757,1000
3761,99757,1000
4011,99758,1000
4261,99757,1000
4511,99758,1000
4761,99757,1000
5011,99757,1000
5261,99758,1000
5511,99757,1000
5761,99757,1000
6011,99758,1000
6261,99757,1000
6511,99758,1000
6761,99757,1000
7011,99757,1000
7261,99758,1000
7511,99757,1000
7761,99758,1000
8011,99757,1000
8261,99757,1000
8511,99758,1000
8761,99757,1000
9011,99757,1000
9261,99758,1000
9511,99757,1000
9761,99758,1000
10011,99757,1000
260011,99757377,1000000
510011,99757377,1000000
760011,99757377,1000000
1010011,99757378,1000000
1260011,99757377,1000000
1510011,99757377,1000000
1760011,99757377,1000000
2010011,99757377,1000000
2260011,99757377,1000000
2510011,99757377,1000000
2760011,99757378,1000000
3010011,99757377,1000000
3260011,99757377,1000000
3510011,99757377,1000000
3760011,99757377,1000000
4010011,99757377,1000000
4260011,99757377,1000000
4510011,99757378,1000000
4760011,99757377,1000000
5010011,99757377,1000000
5260011,99757377,1000000
5510011,99757377,1000000
5760011,99757377,1000000
6010011,99757377,1000000
6260011,99757378,1000000
6510011,99757377,1000000
6760011,99757377,1000000
7010011,99757377,1000000
7260011,99757377,1000000
7510011,99757377,1000000
7760011,99757378,1000000
8010011,99757377,1000000
8260011,99757377,1000000
8510011,99757377,1000000
8760011,99757377,1000000
9010011,99757377,1000000
9260011,99757377,1000000
9510011,99757378,1000000
9760011,99757377,1000000
10010011,99757377,1000000
10260011,99757377,1000000
10510011,99757377,1000000
10760011,99757377,1000000
11010011,99757377,1000000
11260011,99757378,1000000
11510011,99757377,1000000
11760011,99757377,1000000
12010011,99757377,1000000
12260011,99757377,1000000
12510011,99757377,1000000
12760011,99757378,1000000
13010011,99757377,1000000
13260011,99757377,1000000
13510011,99757377,1000000
13760011,99757377,1000000
14010011,99757377,1000000
14260011,99757377,1000000
14510011,99757378,1000000
14760011,99757377,1000000
15010011,99757377,1000000
15260011,99757377,1000000
15510011,99757377,1000000
15760011,99757377,1000000
16010011,99757377,1000000
16260011,99757378,1000000
16510011,99757377,1000000
16760011,99757377,1000000
17010011,99757377,1000000
17260011,99757377,1000000
17510011,99757377,1000000
17760011,99757377,1000000
18010011,99757378,1000000
18260011,99757377,1000000
18510011,99757377,1000000
18760011,99757377,1000000
19010011,99757377,1000000
19260011,99757377,1000000
19510011,99757378,1000000
19760011,99757377,1000000
20010011,99757377,1000000
20260011,99757377,1000000
20510011,99757377,1000000
20760011,99757377,1000000
21010011,99757377,1000000
21260011,99757378,1000000
21510011,99757377,1000000
21760011,99757377,1000000
22010011,99757377,1000000
22260011,99757377,1000000
22510011,99757377,1000000
22760011,99757377,1000000
23010011,99757378,1000000
23260011,99757377,1000000
23510011,99757377,1000000
23760011,99757377,1000000
24010011,99757377,1000000
24260011,99757377,1000000
24510011,99757377,1000000
24760011,99757378,1000000
25010011,99757377,1000000
275010011,99757377149,1000000000
525010011,99757377148,1000000000
775010011,99757377149,1000000000
1025010011,99757377149,1000000000
