ether,mintedBToken,sentEth
1,403,1
2,402,4
3,402,4
4,402,4
5,402,4
6,402,4
7,402,4
8,402,4
9,402,4
10,402,4
11,402,4
261,100507,1000
511,100508,1000
761,100507,1000
1011,100507,1000
1261,100508,1000
1511,100507,1000
1761,100507,1000
2011,100508,1000
2261,100507,1000
2511,100508,1000
2761,100507,1000
3011,100507,1000
3261,100508,1000
3511,100507,1000
3761,100507,1000
4011,100508,1000
4261,100507,1000
4511,100508,1000
4761,100507,1000
5011,100507,1000
5261,100508,1000
5511,100507,1000
5761,100507,1000
6011,100508,1000
6261,100507,1000
6511,100508,1000
6761,100507,1000
7011,100507,1000
7261,100508,1000
7511,100507,1000
7761,100508,1000
8011,100507,1000
8261,100507,1000
8511,100508,1000
8761,100507,1000
9011,100507,1000
9261,100508,1000
9511,100507,1000
9761,100508,1000
10011,100507,1000
260011,100507377,1000000
510011,100507377,1000000
760011,100507377,1000000
1010011,100507378,1000000
1260011,100507377,1000000
1510011,100507377,1000000
1760011,100507377,1000000
2010011,100507377,1000000
2260011,100507377,1000000
2510011,100507377,1000000
2760011,100507378,1000000
3010011,100507377,1000000
3260011,100507377,1000000
3510011,100507377,1000000
3760011,100507377,1000000
4010011,100507377,1000000
4260011,100507377,1000000
4510011,100507378,1000000
4760011,100507377,1000000
5010011,100507377,1000000
5260011,100507377,1000000
5510011,100507377,1000000
5760011,100507377,1000000
6010011,100507377,1000000
6260011,100507378,1000000
6510011,100507377,1000000
6760011,100507377,1000000
7010011,100507377,1000000
7260011,100507377,1000000
7510011,100507377,1000000
7760011,100507378,1000000
8010011,100507377,1000000
8260011,100507377,1000000
8510011,100507377,1000000
8760011,100507377,1000000
9010011,100507377,1000000
9260011,100507377,1000000
9510011,100507378,1000000
9760011,100507377,1000000
10010011,100507377,1000000
10260011,100507377,1000000
10510011,100507377,1000000
10760011,100507377,1000000
11010011,100507377,1000000
11260011,100507378,1000000
11510011,100507377,1000000
11760011,100507377,1000000
12010011,100507377,1000000
12260011,100507377,1000000
12510011,100507377,1000000
12760011,100507378,1000000
13010011,100507377,1000000
13260011,100507377,1000000
13510011,100507377,1000000
13760011,100507377,1000000
14010011,100507377,1000000
14260011,100507377,1000000
14510011,100507378,1000000
14760011,100507377,1000000
15010011,100507377,1000000
15260011,100507377,1000000
15510011,100507377,1000000
15760011,100507377,1000000
16010011,100507377,1000000
16260011,100507378,1000000
16510011,100507377,1000000
16760011,100507377,1000000
17010011,100507377,1000000
17260011,100507377,1000000
17510011,100507377,1000000
17760011,100507377,1000000
18010011,100507378,1000000
18260011,100507377,1000000
18510011,100507377,1000000
18760011,100507377,1000000
19010011,100507377,1000000
19260011,100507377,1000000
19510011,100507378,1000000
19760011,100507377,1000000
20010011,100507377,1000000
20260011,100507377,1000000
20510011,100507377,1000000
20760011,100507377,1000000
21010011,100507377,1000000
21260011,100507378,1000000
21510011,100507377,1000000
21760011,100507377,1000000
22010011,100507377,1000000
22260011,100507377,1000000
22510011,100507377,1000000
22760011,100507377,1000000
23010011,100507378,1000000
23260011,100507377,1000000
23510011,100507377,1000000
23760011,100507377,1000000
24010011,100507377,1000000
24260011,100507377,1000000
24510011,100507377,1000000
24760011,100507378,1000000
25010011,100507377,1000000
275010011,100507377149,1000000000
525010011,100507377148,1000000000
775010011,100507377149,1000000000
1025010011,100507377149,1000000000
1275010011,100507377149,1000000000
1525010011,100507377149,1000000000
1775010011,100507377149,1000000000
2025010011,100507377148,1000000000
2275010011,100507377149,1000000000
2525010011,100507377149,1000000000
2775010011,100507377149,1000000000
3025010011,100507377149,1000000000
3275010011,100507377149,1000000000
3525010011,100507377148,1000000000
3775010011,100507377149,1000000000
4025010011,100507377149,1000000000
4275010011,100507377149,1000000000
4525010011,100507377149,1000000000
4775010011,100507377149,1000000000
5025010011,100507377148,1000000000
5275010011,100507377149,1000000000
5525010011,100507377149,1000000000
5775010011,100507377149,1000000000
6025010011,100507377149,1000000000
6275010011,100507377149,1000000000
6525010011,100507377148,1000000000
6775010011,100507377149,1000000000
7025010011,100507377149,1000000000
7275010011,100507377149,1000000000
7525010011,100507377149,1000000000
7775010011,100507377149,1000000000
8025010011,100507377148,1000000000
8275010011,100507377149,1000000000
8525010011,100507377149,1000000000
8775010011,100507377149,1000000000
9025010011,100507377149,1000000000
9275010011,100507377149,1000000000
9525010011,100507377148,1000000000
9775010011,100507377149,1000000000
10025010011,100507377149,1000000000
10275010011,100507377149,1000000000
10525010011,100507377149,1000000000
10775010011,100507377149,1000000000
11025010011,100507377148,1000000000
11275010011,100507377149,1000000000
11525010011,100507377149,1000000000
11775010011,100507377149,1000000000
12025010011,100507377149,1000000000
12275010011,100507377149,1000000000
12525010011,100507377148,1000000000
12775010011,100507377149,1000000000
13025010011,100507377149,1000000000
13275010011,100507377149,1000000000
13525010011,100507377149,1000000000
13775010011,100507377149,1000000000
14025010011,100507377148,1000000000
14275010011,100507377149,1000000000
14525010011,100507377149,1000000000
14775010011,100507377149,1000000000
15025010011,100507377149,1000000000
15275010011,100507377148,1000000000
15525010011,100507377149,1000000000
15775010011,100507377149,1000000000
16025010011,100507377149,1000000000
16275010011,100507377149,1000000000
16525010011,100507377149,1000000000
16775010011,100507377148,1000000000
17025010011,100507377149,1000000000
17275010011,100507377149,1000000000
17525010011,100507377149,1000000000
17775010011,100507377149,1000000000
18025010011,100507377149,1000000000
18275010011,100507377148,1000000000
18525010011,100507377149,1000000000
18775010011,100507377149,1000000000
19025010011,100507377149,1000000000
19275010011,100507377149,1000000000
19525010011,100507377149,1000000000
19775010011,100507377148,1000000000
20025010011,100507377149,1000000000
20275010011,100507377149,1000000000
20525010011,100507377149,1000000000
20775010011,100507377149,1000000000
21025010011,100507377148,1000000000
21275010011,100507377149,1000000000
21525010011,100507377149,1000000000
21775010011,100507377149,1000000000
22025010011,100507377149,1000000000
22275010011,100507377149,1000000000
22525010011,100507377148,1000000000
22775010011,100507377149,1000000000
23025010011,100507377149,1000000000
23275010011,100507377149,1000000000
23525010011,100507377149,1000000000
23775010011,100507377149,1000000000
24025010011,100507377148,1000000000
24275010011,100507377149,1000000000
24525010011,100507377149,1000000000
24775010011,100507377149,1000000000
25025010011,100507377149,1000000000
275025010011,100507377148775,1000000000000
525025010011,100507377148679,1000000000000
775025010011,100507377148581,1000000000000
1025025010011,100507377148484,1000000000000
1275025010011,100507377148387,1000000000000
1525025010011,100507377148290,1000000000000
1775025010011,100507377148193,1000000000000
2025025010011,100507377148096,1000000000000
2275025010011,100507377147999,1000000000000
2525025010011,100507377147902,1000000000000
2775025010011,100507377147805,1000000000000
3025025010011,100507377147707,1000000000000
3275025010011,100507377147611,1000000000000
3525025010011,100507377147513,1000000000000
3775025010011,100507377147417,1000000000000
4025025010011,100507377147319,1000000000000
4275025010011,100507377147223,1000000000000
4525025010011,100507377147125,1000000000000
4775025010011,100507377147028,1000000000000
5025025010011,100507377146931,1000000000000
5275025010011,100507377146834,1000000000000
5525025010011,100507377146737,1000000000000
5775025010011,100507377146640,1000000000000
6025025010011,100507377146543,1000000000000
6275025010011,100507377146445,1000000000000
6525025010011,100507377146349,1000000000000
6775025010011,100507377146251,1000000000000
7025025010011,100507377146155,1000000000000
7275025010011,100507377146057,1000000000000
7525025010011,100507377145961,1000000000000
7775025010011,100507377145863,1000000000000
8025025010011,100507377145766,1000000000000
8275025010011,100507377145669,1000000000000
8525025010011,100507377145572,1000000000000
8775025010011,100507377145475,1000000000000
9025025010011,100507377145378,1000000000000
9275025010011,100507377145281,1000000000000
9525025010011,100507377145184,1000000000000
9775025010011,100507377145086,1000000000000
10025025010011,100507377144990,1000000000000
10275025010011,100507377144893,1000000000000
10525025010011,100507377144795,1000000000000
10775025010011,100507377144698,1000000000000
11025025010011,100507377144602,1000000000000
11275025010011,100507377144504,1000000000000
11525025010011,100507377144407,1000000000000
11775025010011,100507377144310,1000000000000
12025025010011,100507377144213,1000000000000
12275025010011,100507377144116,1000000000000
12525025010011,100507377144019,1000000000000
12775025010011,100507377143922,1000000000000
13025025010011,100507377143825,1000000000000
13275025010011,100507377143727,1000000000000
13525025010011,100507377143631,1000000000000
13775025010011,100507377143533,1000000000000
14025025010011,100507377143437,1000000000000
14275025010011,100507377143339,1000000000000
14525025010011,100507377143242,1000000000000
14775025010011,100507377143146,1000000000000
15025025010011,100507377143048,1000000000000
15275025010011,100507377142951,1000000000000
15525025010011,100507377142854,1000000000000
15775025010011,100507377142757,1000000000000
16025025010011,100507377142659,1000000000000
16275025010011,100507377142563,1000000000000
16525025010011,100507377142466,1000000000000
16775025010011,100507377142369,1000000000000
17025025010011,100507377142271,1000000000000
17275025010011,100507377142175,1000000000000
17525025010011,100507377142077,1000000000000
17775025010011,100507377141980,1000000000000
18025025010011,100507377141884,1000000000000
18275025010011,100507377141786,1000000000000
18525025010011,100507377141689,1000000000000
18775025010011,100507377141592,1000000000000
19025025010011,100507377141495,1000000000000
19275025010011,100507377141398,1000000000000
19525025010011,100507377141301,1000000000000
19775025010011,100507377141203,1000000000000
20025025010011,100507377141107,1000000000000
20275025010011,100507377141010,1000000000000
20525025010011,100507377140912,1000000000000
20775025010011,100507377140816,1000000000000
21025025010011,100507377140718,1000000000000
21275025010011,100507377140621,1000000000000
21525025010011,100507377140525,1000000000000
21775025010011,100507377140427,1000000000000
22025025010011,100507377140330,1000000000000
22275025010011,100507377140233,1000000000000
22525025010011,100507377140136,1000000000000
22775025010011,100507377140039,1000000000000
23025025010011,100507377139941,1000000000000
23275025010011,100507377139845,1000000000000
23525025010011,100507377139748,1000000000000
23775025010011,100507377139650,1000000000000
24025025010011,100507377139554,1000000000000
24275025010011,100507377139456,1000000000000
24525025010011,100507377139360,1000000000000
24775025010011,100507377139262,1000000000000
25025025010011,100507377139165,1000000000000
25275025010011,100507377139068,1000000000000
25525025010011,100507377138971,1000000000000
25775025010011,100507377138874,1000000000000
26025025010011,100507377138777,1000000000000
26275025010011,100507377138680,1000000000000
26525025010011,100507377138583,1000000000000
26775025010011,100507377138485,1000000000000
27025025010011,100507377138389,1000000000000
27275025010011,100507377138292,1000000000000
27525025010011,100507377138194,1000000000000
